"","long","lat","group","year"
"1",-118.5,36.11,"1.1",2006
"9",-118.5,36.1,"1.1",2006
"66",-118.51,36.1,"1.1",2006
"112",-118.51,36.11,"1.2",2006
"199",-118.51,36.1,"1.3",2006
"269",-118.95,36.8,"2.1",2006
"310",-118.96,36.8,"2.1",2006
"328",-118.96,36.79,"2.1",2006
"365",-118.97,36.79,"2.1",2006
"373",-118.97,36.8,"2.1",2006
"581",-118.97,36.81,"2.2",2006
"646",-118.95,36.81,"2.3",2006
"658",-118.95,36.8,"2.3",2006
"661",-118.96,36.8,"2.3",2006
"741",-118.96,36.81,"2.3",2006
"789",-118.98,36.81,"2.4",2006
"797",-118.97,36.81,"2.4",2006
"963",-118.96,36.79,"2.5",2006
"975",-118.96,36.78,"2.5",2006
"1025",-118.97,36.78,"2.5",2006
"1028",-118.97,36.79,"2.5",2006
"1040",-118.99,36.81,"2.6",2006
"1069",-118.99,36.8,"2.6",2006
"1114",-118.96,36.81,"2.7",2006
"1153",-118.96,36.81,"2.8",2006
"1172",-118.95,36.81,"2.8",2006
"1186",-118.99,36.81,"2.9",2006
"1227",-116.7,33.74,"3.1",2006
"1267",-116.71,33.73,"4.1",2006
"1271",-116.71,33.72,"4.1",2006
"1273",-116.7,33.72,"4.1",2006
"1472",-120.8,39.32,"5.1",2006
"1483",-120.8,39.31,"5.1",2006
"1493",-120.81,39.31,"5.1",2006
"1515",-120.81,39.32,"5.1",2006
"1532",-118.55,35.83,"6.1",2006
"1641",-118.55,35.82,"6.1",2006
"1722",-118.56,35.83,"6.1",2006
"1855",-118.55,35.84,"6.1",2006
"2008",-118.55,36.15,"6.2",2006
"2011",-118.54,36.15,"6.2",2006
"2136",-118.57,36.18,"6.3",2006
"2201",-118.57,36.14,"6.4",2006
"2213",-118.58,36.14,"6.4",2006
"2235",-118.59,36.19,"6.5",2006
"2248",-118.59,36.18,"6.5",2006
"2293",-118.53,36.09,"6.6",2006
"2351",-118.51,36.12,"6.7",2006
"2425",-118.52,36.1,"6.8",2006
"2429",-118.52,36.09,"6.8",2006
"2489",-118.56,36.18,"6.9",2006
"2492",-118.57,36.18,"6.9",2006
"2533",-118.52,36.09,"6.10",2006
"2549",-118.53,36.09,"6.10",2006
